article_id_parent,article_id_child,group_reprint_id,reprint_type,,,
,TheBruceHerald1884,,,,,
,,,,,,
,,,,,,
Hardacre1880_SM,,,,,,
,Hardacre1880_TBC,,,,,
,Hardacre1880_WE,,,,,
,Hardacre1880_VP,,,,,
,Hardacre1880_TTDT,,,,,
,Hardacre1880_THR,,,,,
,Hardacre1880_TH,,,,,
,TheFresnoRepublican1880,,,,,
,TheRiverineGrazier1880,,,,,
,Hardacre1881_ODH16(92),,,,,
,Hardacre1881_ODH16(93),,,,,
Wrexham (Wales) Advertiser (see StillSearching),,,,,,
,Rawlins1881_Jul27,,,,,
,Rawlins1881_Nov17,,,,,
,Paul1897,,,,,
,DavenportMorningTribune1889,,,,,
,AlexandriaGazette1889,,,,,
,TheDailyDemocrat1891_Feb7,,,,,
,TheDailyDemocrat1891_Feb10,,,,,
,TheDailyArgusNews1889,,,,,
,TheTidings1904_Sep16,,,,,
,TheTidings1904_Sep23,,,,,
,TheTidings1904_Sep30,,,,,
,Paul1911,,,,,
,MorningTribune1913,,,,,
,Woodward1930,,,,,
,Woodward1931,,,,,
,Bennett1936,,,,,
,Hardacre1950,,,,,
,Hardacre1961,,,,,
,Hardacre1966,,,,,
,HeizerWhipple1971,,,,,
,,,,,,
,,,,,,
TheYouthsCompanion1880,,,,,,
,TheOsageCityFreePress1880,,,,,
,TheSarniaObserver1898,,,,,
,,,,,,
,,,,,,
Terry1882,,,,,,
Mason1883,,,,,,
,TheEveningPost1896,,,,,
,Rust1897,,,,,
,Holder1910,,,,,
,McGroarty1911,,,,,
,Sheridan1925,,,,,
,Sheridan1927_21(33),,,,,
,Sheridan1927_21(34),,,,,
,Mason1961,,,,,
,Mason1966,,,,,
,Harrigan1998,,,,,
,,,,,,
,,,,,,
Witter1885_DAC,,,,,,
,TheTimes1885,,,,,
,CincinnatiCommercialTribune1885,,,,,
,TheBostonWeeklyGlobe1885,,,,,
,StLouisGlobeDemocrat1885,,,,,
,Witter1885_TAC,,,,,
,TheEveningStar1885,,,,,
,TheEveningTelegram1885,,,,,
,ChristianUnion1885,,,,,
,BangorDailyWhigAndCourier1885,,,,,
,RockyMountainNews1885,,,,,
,TheDailyBee1885,,,,,
,TheDailyPicayune1885,,,,,
,StLouisPostDispatch1885,,,,,
,HeraldAndTribune1885,,,,,
,AugustaChronicle1885,,,,,
,TheTelegraphAndMessenger1885,,,,,
,TheBathPlaindealer1885,,,,,
,GalvestonDailyNews1885,,,,,
,TheIndianaStateSentinel1885,,,,,
,TheKansasCityEveningStar1885,,,,,
,NewHampshireSentinel1885,,,,,
,WeeklyNewsAndDemocrat1885,,,,,
,UticaObserver1885,,,,,
,TheAmsterdamDailyDemocrat1885,,,,,
,TheTopekaDailyCapital1885,,,,,
,OswegoTimesExpress1885,,,,,
,NewsAndCitizen1885,,,,,
,CortlandNews1885,,,,,
,MadisonCountyTimes1885,,,,,
,BismarckDailyTribune1885,,,,,
,TheDawn1881,,,,,
,CambriaFreeman1885,,,,,
,SaltLakeEveningDemocrat1885,,,,,
,ReadingTimes1885,,,,,
,,,,,,
,,,,,,
Ventura Free Press,,,,,,
,TheTimes1887,,,,,
,TheOmahaDailyBee1887,,,,,
,TheRecorder1887,,,,,
,FortWorthDailyGazette1887,,,,,
,MexicoWeeklyLedger1887,,,,,
,SundayGlobe1887,,,,,
,GalvestonDailyNews1887,,,,,
,TheDemocraticPress1887,,,,,
,TheWorthingtonAdvance1887,,,,,
,TheBarberCountyIndex1887,,,,,
,,,,,,
,,,,,,
TheWeeklyFreePress1891,,,,,,
,LosAngelesHerald1891,,,,,
,ChicagoDailyTribune1891,,,,,
,,,,,,
,,,,,,
Blanco1882_TIS,,,,,,
,Blanco1882,,,,,
,,,,,,
,,,,,,
Miller1891,,,,,,
,Yates1892_29Feb,,,,,
,,,,,,
,,,,,,
SanFranciscoExaminer1892,,,,,,
,IllustratedAmerican1892,,,,,
,TheMorningPress1892,,,,,
,TheSun1892,,,,,
,TheEveningStar1892,,,,,
,SullivanRepublican1892,,,,,
,DemocratAndChronicle1892,,,,,
,TheSmithfieldHerald1892,,,,,
