article_id,group_reprint_id
R. L. Moodie (see StillSearching),R. L. Moodie (see StillSearching)_reprint
TheDailyStar1930,R. L. Moodie (see StillSearching)_reprint
TheColdSpringRecorder1930,R. L. Moodie (see StillSearching)_reprint
Fife1943,Fife1943_reprint
Altrocchi1944,Fife1943_reprint
HanchettFife1944,Fife1943_reprint
Davidson1943_TB,Davidson1943_TB_reprint
Davidson1943_TGDN,Davidson1943_TB_reprint
LosAngelesTimes1951,LosAngelesTimes1951_reprint
Carl1952,LosAngelesTimes1951_reprint
HeizerElsasser1961,HeizerElsasser1961_reprint
HeizerElsasser1966,HeizerElsasser1961_reprint
Sauers2013_AirTime,Sauers2013_AirTime_reprint
Sauers2013_Currents,Sauers2013_AirTime_reprint
TelleenLawton2013_Mag,TelleenLawton2013_Mag_reprint
TelleenLawton2013_Blog,TelleenLawton2013_Mag_reprint
