person_writing,type,key,name,write_up,notes
Sara,"persName type=""nativeamerican""",#lwchild,Lone Woman's Child,"The Lone Woman’s Child: multiple accounts state that a young child or children of the Lone Woman failed to board the <i>Peor es Nada</i> in 1835. The Lone Woman may have had several children, but according to the narratives anthropologist J.P. Harrington collected from Native informants more than half a century after the event, she returned to San Nicolas Island when it became apparent that one child, a son, was still on the island. The story told to Harrington was that this son perished, likely while hunting at sea; the Lone Woman spent the remainder of her eighteen years on the island alone. Although Scott O’Dell did not consult J. P. Harrington’s ethnographic notes, his creation of a fictional younger brother (Ramo) for the Lone Woman (Karana) fits nicely with this evidence: the boy left behind was likely in middle childhood.",http://www.amphilsoc.org/mole/view?docId=ead/Mss.B.B672-ead.xml
Sara,persName,#mermaid,Mermaid,The Mermaid: a curiosity exhibited at P. T. Barnum's museum in New York and sent on traveling exhibits. Composed of a dried monkey head fused with a fish's tail.,http://www.thehumanmarvels.com/the-feejee-mermaid-the-famous-fake/; http://www.museumofhoaxes.com/hoax/archive/permalink/the_feejee_mermaid
Sara,persName,#asw,Nova Scotian Giantess,"The Nova Scotian Giantess (1846-88): stage name of Anna Swan, a circus performer of unusual height who gained fame in P. T. Barnum's ""freak"" shows.",http://www.thehumanmarvels.com/anna-swan-the-giantess-of-nova-scotia/; http://www.biographi.ca/en/bio/swan_anna_haining_11E.html
Sara,persName,#stoutl,Stout lady,"The Stout Lady (?-1899): likely Elizabeth Charlotte Stice, who toured with P. T. Barnum’s Circus as ""the Fat Lady.""","

http://www.thedailyreporter.com/article/20110114/News/301149951

"
EA,"persName type=""author""",#tkr,Theodora Kroeber Quinn,Theodora Kroeber Quinn (1897-1979): an American anthropological writer who focused on California Indians. Quinn is most famous for her book <i>Ishi in Two Worlds</i> (1961). She was married to the famed anthropologist Alfred Kroeber.,http://escholarship.org/uc/item/1p62d714 http://www.cateweb.org/CA_Authors/Kroeber.html
Rachel,"persName type=""author""",#thi,Theodore Henry Hittell,"Theodore Henry Hittell (1830-1917): a lawyer, editor of the <i>San Francisco Bulletin</i>, and author. After having been educated at numerous western colleges and at Yale, Hittell moved west to California in 1855. In California he was active in law, politics, and science. He wrote on legal issues, published <i>History of California</i> (1885; 1897), and presented numerous scientific papers to the California Academy of Sciences.",https://archive.org/details/inmemoriamtheodo00calirich
Rachel,"persName type=""author""",#tbl,Thomas Blackburn,"Thomas Blackburn: anthropologist (PhD, University of California, Los Angeles) who researched and published on the Chumash. Blackburn was a professor of geography and anthropology at California State Polytechnic University, Ponoma for many years. He frequently collaborated with Dee Travis Hudson.",
Rachel,persName,#tme,Thomas F. Meagher,Thomas F. Meagher (1823-67): acting governor of the Montana Territory from 1865-66. He served as a United States Army Brigadier General for the Union during the American Civil War.,http://books.google.com/books?id=QaLtw7gUkf0C&printsec=frontcover&dq=The+Irish+General:+Thomas+Francis+Meagher&hl=en#v=onepage&q=The%20Irish%20General%3A%20Thomas%20Francis%20Meagher&f=false
Rachel,persName,#the,Thomas Jefferson Henley,"Thomas Jefferson Henley (1808-78): a lawyer and politician. Henley attended Indiana University at Bloomington, was a representative of the Indiana State and Congressional Houses, served as the Superintendent of Indian Affairs for California, and was postmaster of San Francisco.",http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000499
Baseball card,"persName type=""seaman""",#tje,Thomas Jeffries,"Thomas Jeffries (1809?-91): an English sailor who lived in Santa Barbara, California, in the mid-nineteenth century. According to an 1880 <i>Scribner’s Monthly</i> article, Father González Rubio paid Jeffries $200 to look for the Lone Woman on San Nicolas Island. Jeffries sailed to the island with George Nidever and several Native Calfiornia men in 1852. Although they found footprints and brush shelters, they did not find the Lone Woman.",
Rachel,persName,#tmhock,Thomas Morland Hocken,"Thomas Morland Hocken (1836-1910): an English physician, historian, and collector. Hocken attended Newcastle Upon Tyne College and the Ledwich School, establishing his career through various medical positions in Dunedin, Australia. He later became known as an historian of New Zealand and Pacific Native populations and for his sizeable collection of literature relating to the region, which was eventually given to the University of Otago.","http://www.teara.govt.nz/en/biographies/2h39/hocken-thomas-morland

http://www.otago.ac.nz/library/pdf/speccollbrochure.pdf"
Sara,persName,#tol,Thomas Oliver Larkin,"Thomas Oliver Larkin (1802-58): a merchant. Born in Massachusetts, Larkin arrived in California in 1832, opened a successful store in Monterey, and engaged in the Pacific trade. From 1844-48, a period marked by the rapid influx of US settlers following the Gold Rush, he served as the US Consul to Alta California.","""George P. Hammond and the Larkin Papers,"" California Historical Society Quarterly; http://www.mchsmuseum.com/larkin_thomaso.html"
Rachel,"persName type=""author""",#tth,Thomas Thompson,"Thomas Thompson: with Albert West, co-owner of the Oakland-based Thompson & West publishing business.","http://books.google.com/books?id=U4EcY2ax3BgC&pg=PA63&lpg=PA63&dq=%22Thomas+Thompson%22+%22albert+west%22&source=bl&ots=7ENxe4I9xZ&sig=tdcXlpiPLe1JFBgHrwaJvFdxxJ4&hl=en&sa=X&ei=4BizU5y8FsXy8QHK44CYAQ&ved=0CCQQ6AEwAQ#v=onepage&q=%22Thomas%20Thompson%22%20%22albert%20west%22&f=false

http://www.csrmf.org/explore-and-learn/railroad-history/life-on-the-railroad/river-city-depots

http://www.solanoarticles.com/history/index.php/weblog/more/authors_of_atlas_follow_a_map_to_funding/

http://www.solanohistory.net/articles/617/617.1.pdf

http://www.stonybrook.edu/libmap/coordinates/seriesb/no11/b11.htm

http://archive.org/stream/historyofsacrame00will/historyofsacrame00will_djvu.txt

Myth_035.pdf"
Sara,"name type=""fictional""",#tba,Tom Barton,"Tom Barton: fictional protagonist of Scott O'Dell's novel <i>The Hawk That Dare Not Hunt by Day</i>, a book set in sixteenth-century England.",
Sara,"persName type=""frontiersman""",#tham,Tom Hammonds,Tom Hammonds: a member of the 1830-33 hunting and trapping expedition of which George Nidever was a part.,"Weber, David J. The Taos Trappers: The Fur Trade in the Far Southwest, 1540-1846. Norman, Oklahoma: University of Oklahoma Press, 1971."
Rachel,persName,#tha,Tom Hanks,"Tom Hanks (1956-): an actor and producer. His appearances include <i>Big</i> (1988), <i>Forrest Gump</i> (1994), and <i>Cast Away</i> (2000).",http://www.imdb.com/name/nm0000158/
Rachel,persName,#trask,Trask,"Trask: probably John Boardman Trask, one of the founding members of the California Academy of Sciences.",http://researcharchive.calacademy.org/research/scipubs/pdfs/v57/proccas_v57_n01.pdf
Rachel,"name type=""fictional""",#tut,Tutok,"Tutok: a character in Scott O'Dell's <i>Island of the Blue Dolphins</i> (1960). An Aleut girl brought to the island by sea otter hunters, she becomes Karana's first human friend after years of solitude.",
Sara,persName,#nighten,Two-Head Nightingale,"Two-Head Nightingale (1851-1912): stage name of Millie and Christine McCoy, conjoined twins born to a slave mother in North Carolina. Sold and exhibited locally, they eventually came under the control of a wealthy merchant who educated them in England. The women returned to the United States and performed as members of P. T. Barnum’s circus for many years.",http://www.anb.org/articles/20/20-01879.html
Rachel,persName,#tng,Tzimtzincha-Tangaxuan II,"Tzimtzincha-Tangaxuan II: king of the Purépecha (or Tarascan) people. He accepted peace terms from Hernán Cortés and converted to Christianity, but was later tortured and hanged by conquistador Nu&#241;o Beltrán de Guzmán.",http://books.google.com/books?id=Tgn2TZNbHy4C&pg=PA162&lpg=PA162&dq=Tzimtzincha-Tangaxuan+II&source=bl&ots=s1nSql5oAb&sig=aPqDsY1rTZgrS_hEes1wJ5_cmkw&hl=en&sa=X&ei=OWZ5U9_ACPKqsQTIh4G4Cg&ved=0CEIQ6AEwAw#v=onepage&q=Tzimtzincha-Tangaxuan%20II&f=false
Rachel,"name type=""fictional""",#ula,Ulape,Ulape: Karana's older sister in Scott O'Dell's <i>Island of the Blue Dolphins</i> (1960).,
Sara,"persName type=""nativeamerican""",#natamwoman1,Unidentified elderly Indian woman,"Unidentified Indian woman: one of many Native peoples who visited the Nidever home in an attempt to communicate with the Lone Woman. Evidence suggests that none of them, including the ""old woman,"" spoke the Lone Woman's language fluently, although this elderly woman and a man, Nolverto/Nolberto might have been able to communicate with her unevenly. At the time of the Lone Woman's arrival in Santa Barbara, at least one Nicole&#241;o man removed from San Nicolas Island on the <i>Peor es Nada</i> was alive, but he and the Lone Woman never came into contact.","Hudson1981 on Nolv[b]erto, otherwise documents cited themselves"
,persName,#nativeamericans,Unidentified Indians,"Unidentified Indians: men, likely associated with Mission Santa Barbara, who have not been identified at this time.",
Rachel,persName,#laresident1,Unidentified Los Angeles resident,"Unidentified Los Angeles resident: most documents refer to a Los Angeles resident ""marrying"" an unidentified Nicole&#241;o woman. Neither Church nor mission documents between 1835-60 record a marriage between any prominent Los Angeles citizens and San Nicolas or other Channel Island Natives. It was common, however, for Indians to be taken as servants during this time.",Sara Schwebel per Susan Morris
Rachel,persName,#laresident2,Unidentified Los Angeles resident,"Unidentified Los Angeles resident: most documents refer to a Los Angeles resident ""marrying"" an unidentified Nicole&#241;o woman. Neither Church nor mission documents between 1835-60 record a marriage between any prominent Los Angeles citizens and San Nicolas or other Channel Island Natives. It was common, however, for Indians to be taken as servants during this time.",Sara Schwebel per Susan Morris
Rachel,"persName type=""nativeamerican""",#Nicolenowoman1,Unidentified Nicole&#241;o woman,"Unidentified Nicole&#241;o woman: most documents refer to an unidentified Nicole&#241;o woman as ""married to"" a Los Angeles resident. Neither Church nor mission documents between 1835-60 record a marriage between any prominent Los Angeles citizens and San Nicolas or other Channel Island Natives. It was common, however, for Indians to be taken as servants during this time.",Sara Schwebel per Susan Morris
Rachel,"persName type=""nativeamerican""",#Nicolenowoman2,Unidentified Nicole&#241;o woman,"Unidentified Nicole&#241;o woman: most documents refer to an unidentified Nicole&#241;o woman as ""married to"" a Los Angeles resident. Neither Church nor mission documents between 1835-60 record a marriage between any prominent Los Angeles citizens and San Nicolas or other Channel Island Natives. It was common, however, for Indians to be taken as servants during this time.",Sara Schwebel per Susan Morris
Sara,"persName type=""nativeamerican""",#Nicolenowoman7,Unidentified Nicole&#241;o woman,"Unidentified Nicole&#241;o woman: there is no evidence that a Nicole&#241;a was removed from San Nicolas Island between the 1814 confrontation with Alaska Natives and the 1835 group removal of islanders on the <i>Peor es Nada</i>. It is likely that in the 1840s, Williams had an indigenous female from the mainland living in his household (he later had children with two Luise&#241;a mistresses). However, George Nidever states in his memoir <i>The Life and Adventures of George Nidever</i> that Isaac Williams had a Nicole&#241;a living with him after the 1835 removal.","1844 census. Susan's research (email 6/29 and 7/1, with census attachment) in probate records. Nidever memoir"
Rachel,persName,#priest2,Unidentified priest,"Unidentified priest: possibly refers to Father Antonio de la Ascensión, one of the three Carmelite priests on Vizcaíno's expedition along the California coast. His account of the voyage was widely read.",http://www.jstor.org/stable/27794572?seq=3;http://www.United States-bornjourneys.org/aj-002/summary/
Rachel,persName,#woman5,Unidentified woman,"Unidentified woman: possibly refers to items C. J. W. Russell deposited in the California Academy of Sciences collection in 1857, but their records do not list any needles.",
EA,"persName type=""seaman""",#vba,Vasco Nú&#241;ez de Balboa,"Vasco Nú&#241;ez de Balboa (1475-1519): a Spanish explorer and conquistador who served as the interim governor and captain general of the first stable Spanish settlement in South America, Santa María de la Antigua. In 1513, he became the first European to spot the Pacific Ocean from the American continent.",http://academic.eb.com/EBchecked/topic/49909/Vasco-Nunez-de-Balboa http://ageofex.marinersmuseum.org/index.php?type=explorer&id=63
Sara,"persName type=""author""",#vch,Victor Chauvin,"Victor Chauvin (1844-1913): Belgian scholar of Semitic languages and the law. Chauvin taught Hebrew, Arabic, and Islamic Studies at the University of Liege and was also an important bibliographer. He is best known for his book <i>Bibliographie des ouvrages arabes ou relatifs aux Arabes publiés dans l'Europe chrétienne de 1810 à 1885</i> (<i>Bibliography of Arab works published in Christian Europe, 1810-1885</i>). Chauvin was also an early folklorist.",http://en.wikipedia.org/wiki/Victor_Chauvin; http://www.idref.fr/autorites/autorites.html; see email (German translation) from Katja
