person_writing,type,key,name,write_up,notes
Rachel,"persName type=""seaman""",#fremontcpt,A. M. Burns,A. M. Burns: employee of the Pacific Mail Steamers who captained the <i>Fremont</i> on the Portland-San Francisco mail route from 1852-53.,"Lewis & Dryden's Marine History of the Pacific Northwest at http://books.google.com/books?id=seRDAAAAYAAJ&pg=PA47&lpg=PA47&dq=captain+of+the+brig+Fremont+1853&source=bl&ots=OxqDZKiCid&sig=6NAWIMA5xS98-aFH0BmD6bUj8cA&hl=en&sa=X&ei=s8SIU-qJDompsASRi4GgDw&ved=0CCkQ6AEwAA#v=snippet&q=%22fremont%22%20%22burns%22&f=false

The Merchants' Magazine and Commercial Review, Volume 29: http://books.google.com/books?id=diZOAAAAYAAJ&pg=PA244&lpg=PA244&dq=%22fremont%22+%22a.+m.+burns%22+1853&source=bl&ots=JDxE0x4DtP&sig=0f8Z8m7FZGLYLkQiqgtvxCD8SRI&hl=en&sa=X&ei=Wce4U727OubI8wGP7oHgDQ&ved=0CDgQ6AEwBA#v=onepage&q=%22fremont%22%20%22a.%20m.%20burns%22%201853&f=false

http://cdnc.ucr.edu/cgi-bin/cdnc?a=d&d=DAC18530420.2.16.3#

http://cdnc.ucr.edu/cgi-bin/cdnc?a=d&d=DAC18530608.2.25.3

http://cdnc.ucr.edu/cgi-bin/cdnc?a=d&d=DAC18530305.2.18.3

http://cdnc.ucr.edu/cgi-bin/cdnc?a=d&d=DAC18530409.2.18.3&srpos=0&st=0&e=-------en-Page-20-DAC-159-byDA--txIN-chess-----"
Rachel,persName,#amo,A. P. More,"A.P. More: one of three More brothers who played an important role in developing the Santa Barbara region in the mid-nineteenth century. Between 1859-70, A.P., T. Wallace, and Henry H. More acquired sole proprietorship of Santa Rosa Island, where they developed a thriving sheep-raising venture.","http://www.nps.gov/chis/historyculture/santarosaisland.htm

http://www.rootsweb.ancestry.com/~cagha/biographies2/bios2/more-john-f.txt"
Rachel/Sara,"persName type=""author""",#ast,Absalom B. Stuart,"Absalom B. Stuart (1830-87): a prosperous doctor born in Pennsylvania. He trained at the Berkshire Medical College at Williams College in Massachusetts and at the Bellevue Medical College in New York. He relocated to Minnesota Territory and California, where he was licensed to practice medicine. In 1879, he appears in the Santa Barbara (CA) voting records; it is likely at this point that he met with George Nidever and Carl Dittman. Stuart was associated with <i>The Sanitarian</i>, a monthly medical journal based in New York.","http://books.google.com/books?id=XIQCAAAAYAAJ&pg=PA400&lpg=PA400&dq=%22Absalom+B.+Stuart%22+santa+barbara+california&source=bl&ots=Z2VyTu4VIV&sig=ALYHhSoNsFotv0DgbbozDVd2q58&hl=en&sa=X&ei=B3WKU6jEHta1sASOz4GQBw&ved=0CCkQ6AEwAA#v=onepage&q=Absalom%20B.%20Stuart&f=false

http://www.petalumapost.com/pastissues/webpostmarch04.pdf

http://elane.stanford.edu/public/L29628/1885-XXVIII.pdf; records from Ancestry.com (voting, civil war pensions, census records, etc.)"
Rachel,persName,#avroman,Adam Clark Vroman,"Adam Clark Vroman (1856-1916): a photographer. Vroman founded Vroman's Bookstore in Pasadena, California and became well-known for his photographs of California landscapes and architecture before he began documenting the rituals and daily lives of various Native American groups, work conducted in coordination with the Bureau of American Ethnology.","http://www.oac.cdlib.org/findaid/ark:/13030/c87m094d/entire_text/

http://americanart.si.edu/collections/search/artist/?id=6757"
Rachel,"persName type=""author""",#aldo,Adelaide LeMert Doran,"Adelaide LeMert Doran (1908-87): a teacher and author. Doran attended two campuses of the Universities of California, UC-Los Angeles and UC-Southern California, before working as a history teacher. Her published works include <i>The Ranch that was Robbins': Santa Catalina Island, California</i> (1963) and <i>Pieces of Eight Channel Islands: A Bibliographical Guide and Source Book</i> (1980).","http://islapedia.com/index.php?title=DORAN,_Adelaide_LeMert

http://www.worldcat.org/search?qt=worldcat_org_all&q=adelaide+lemert+doran"
Rachel,persName,#ach,Adelbert von Chamisso,"Adelbert von Chamisso (1781-1838): an author and botanist who accompanied the Russian Romanzov Expedition (1815-18), an around-the-world voyage of scientific discovery. Von Chamisso published a diary of the experience, which included collecting in San Francisco Bay. A German-language lyricist (his family had fled France during the Revolution), von Chamisso may be best known today as the author of <i>Peter Schlemihls wundersame Geschichte</i>(<i> Peter Schlemihl’s Miraculous Story</i>)","http://books.google.com/books?hl=en&id=0KYPAAAAQAAJ&dq=chamisso&printsec=frontcover&source=web&ots=twZWPMPeBh&sig=p3Fy9iias0dGdSp4f6xajhb_Ju0&ei=jPmQSZ25Jpm0sQPf_eGyCw&sa=X&oi=book_result&resnum=6&ct=result#v=onepage&q&f=false

http://www.britannica.com/EBchecked/topic/105074/Adelbert-von-Chamisso"
Rachel,"persName type=""author""",#aog,Adele Ogden,"Adele Ogden (1902-90): public school teacher and preeminent researcher of California maritime history. She earned a PhD from the University of California and is author of <i>The California Sea-Otter Trade, 1784-1848</i>.","US Census, 1940.  The Oakland Tribune 26 Aug 1925 and 2 Dec 1941."
Rachel,"persName type=""author""",#ahe,Adolphus L. Heermann,"Adolphus L. Heermann (1818?-65?): a medical doctor and field ornithologist who was elected to the Academy of Natural Sciences of Philadelphia. Heermaan served as part of the US Army Corps of Topographical Engineers in the West, completing surveys that helped to map routes for the Pacific Railroad. Heerman initially crossed the Rocky Mountains with John C. Frémont and then in the 1850s was appointed as surgeon and naturalist to Lieutenant R. S. Williamson's command.","http://www.cprr.org/Museum/Pacific_RR_Surveys/

http://quod.lib.umich.edu/m/moa/AFK4383.0010.006?rgn=main;view=toc

http://quod.lib.umich.edu/m/moa/AFK4383.0010.006?rgn=main;view=fulltext

http://www.dvoc.org/CassiniaOnLine/Cassinia11/C11_01_6.pdf"
Sara,"persName type=""author""",#els,Albert B. Elsasser,"Albert B. Elsasser (1918-99): research anthropologist at the Phoebe Hearst Museum of Anthropology at the University of California, Berkeley (formerly the Lowie Museum of Anthropology).  Elsasser was a doctoral student of Robert F. Heizer, with whom he later co-edited the <i>University of California Archaeological Survey No. 55</i> ""Original Accounts of the Lone Woman of San Nicolas Island,"" a compilation of archival and published accounts about the Lone Woman’s life and ""rescue.""","(dates via Susan, ancestry.com records)"
Rachel,persName,#aei,Albert Einstein,"Albert Einstein (1879-1955): a German-Jewish theoretical physicist. Einstein was educated at the Swiss Federal Polytechnic School in Zurich and, before becoming established in the academy, was an assistant in the Swiss Patent Office. Throughout his career he taught at the Universities of Bern, Zürich, Berlin, and Princeton, among other institutions. Einstein's published works (and just a few of his most important scientific contributions) include ""The Theory of Relativity"" (1905), <i>The Investigations on Theory of Brownian Movement</i> (1926), and <i>The Evolution of Physics</i> (1938). Einstein was awarded the Nobel Prize in Physics in 1921.",http://www.nobelprize.org/nobel_prizes/physics/laureates/1921/einstein-bio.html
Rachel,persName,#ajenks,Albert Ernest Jenks,"Albert Ernest Jenks (1869-1953): archaeologist and anthropologist who was largely self-taught in these fields. He earned a PhD in economics from the University of Wisconsin, writing about the economic practices of Native peoples of the Great Lakes. Jenks was hired by the Bureau of American Ethnology as assistant chief of the Bureau of Non-Christian Tribes in the Philippines and was then promoted to chief of the Ethnological Survey. Later, Jenks founded the University of Minnesota's Department of Anthropology. He was a member of the National Academy of Science.","http://anthropology.umn.edu/labs/wlnaa/history/academic.html

http://siris-archives.si.edu/ipac20/ipac.jsp?&profile=all&source=~!siarchives&uri=full=3100001~!289405~!0#focus

http://onlinelibrary.wiley.com/advanced/search/results"
Rachel,"persName type=""author""",#west,Albert West,"Albert West: with Thomas Thompson, co-owner of the Oakland-based Thompson & West publishing business.","http://books.google.com/books?id=U4EcY2ax3BgC&pg=PA63&lpg=PA63&dq=%22Thomas+Thompson%22+%22albert+west%22&source=bl&ots=7ENxe4I9xZ&sig=tdcXlpiPLe1JFBgHrwaJvFdxxJ4&hl=en&sa=X&ei=4BizU5y8FsXy8QHK44CYAQ&ved=0CCQQ6AEwAQ#v=onepage&q=%22Thomas%20Thompson%22%20%22albert%20west%22&f=false

http://www.csrmf.org/explore-and-learn/railroad-history/life-on-the-railroad/river-city-depots

http://www.solanoarticles.com/history/index.php/weblog/more/authors_of_atlas_follow_a_map_to_funding/

http://www.solanohistory.net/articles/617/617.1.pdf

http://www.stonybrook.edu/libmap/coordinates/seriesb/no11/b11.htm

http://archive.org/stream/historyofsacrame00will/historyofsacrame00will_djvu.txt

Myth_035.pdf"
Rachel,persName,#ahrd,Ale&#353; Ferdinand Hrdli&#269;ka,"Ale&#353; Ferdinand Hrdli&#269;ka (1869-1943): an anthropologist. Hrdli&#269;ka briefly practiced medicine before leaving the United States for Paris to study physical anthropology, a field in which he was employed for the rest of his life. After research and expeditions with the American Museum of Natural History, he served as the assistant curator of the United States National Museum's Division of Physical Anthropology and later took part in expeditions with the Bureau of American Ethnology. Hrdli&#269;ka was associated with numerous scientific and anthropological associations, including the Anthropological Society of Washington, the International Congress of Americanists, and the National Research Council. He edited the <i>American Journal of Physical Anthropology</i> and published widely in his field.","http://www.britannica.com/EBchecked/topic/273648/Ales-Hrdlicka

http://scholar.google.com/citations?user=-NjtTTgAAAAJ&hl=en

http://www.nasonline.org/publications/biographical-memoirs/memoir-pdfs/hrdlika-ales.pdf

http://www.nmnh.si.edu/naa/fa/hrdlicka.pdf"
Rachel,persName,#alex,Alexander III of Macedon,"Alexander III of Macedon, ""the Great"" (356-23 BCE): a Greek king, military leader, politician, and explorer. Alexander inherited his father's kingdom, consolidated power within Greece, and conquered Egypt, Asia Minor, and the Persian Empire in just a decade of military campaigns. Through the uniting of peoples from three continents, Alexander helped facilitate unprecedented cooperation in scholarship, culture, and scientific learning.",http://www.bbc.co.uk/history/historic_figures/alexander_the_great.shtml
Sara,"persName type=""seaman""",#ase,Alexander Selkirk,"Alexander Selkirk (1676-1721): Scottish sailor who spent four years in total isolation on an uninhabited island in what is now called the Juan Fernández Archipelago. After being marooned by his crew, he became quite resourceful, building huts, hunting feral animals, and fashioning various weapons and other utensils on the island. Upon his rescue and return to land, he became the center of attention in England and his life inspired many fictional works, including Daniel Defoe's <i>Robinson Crusoe</i>.",http://www.spiegel.de/international/zeitgeist/trapped-on-a-pacific-island-scientists-research-the-real-robinson-crusoe-a-605963.html
Rachel,persName,#ahu,Alexander von Humboldt,"Alexander von Humboldt (1769-1859): German naturalist and explorer, educated at the Universities of Frankfurt and Göttingen. An expedition to Central and South America led to his collection of extensive data on plant life, topography, and climate, which he spent many years preparing for publication. He corresponded extensively with other thinkers of his day, popularizing science. He was influential in the construction of observatories worldwide in search of new geomagnetic data. His most influential published work was <i>Kosmos</i> (five volumes, 1845-62).","http://www.britannica.com/EBchecked/topic/276083/Alexander-von-Humboldt/3369/Later-years

http://www.biodiversitylibrary.org/bibliography/4717#/summary"
Rachel,"persName type=""frontiersman""",#ago,Alexis Godey,"Alexis Godey (1818?-89): a Missouri-born frontiersman, most likely of French-Canadian parentage. Along with George Nidever, Godey was a member of Benjamin Bonneville's exploration of the Rocky Mountains and took part in Joseph Walker's 1833 expedition to California. He served as a scout for John Charles Frémont and, with ""Kit"" Carson, was instrumental in the United States' taking of California under Frémont. Later in life, Godey made his living as a rancher.","http://www.anb.org/articles/20/20-01907.html

http://books.google.com/books?id=Vzcg8jpuZHoC&pg=PA130&lpg=PA130&dq=Joe+Meek+george+nidever&source=bl&ots=N_RpWp1D7L&sig=K8wVzxieW3M1bcQkzZbAf2R5ySc&hl=en&sa=X&ei=Npt7U96IGISNyASTnILgAg&ved=0CDoQ6AEwAA#v=onepage&q=Meek&f=false"
Rachel,"persName type=""author""",#agu,"Alfred Bertram ""Bud"" Guthrie, Jr.","Alfred Bertram ""Bud"" Guthrie, Jr. (1901-91): a journalist, author, and screenwriter. Guthrie attended the University of Washington and the University of Montana and published works including <i>The Big Sky</i> (1947), <i>The Way West</i> (1949; 1950 Pulitzer Prize winner), and <i>Fair Land, Fair Land</i> (1982).","http://drs.library.yale.edu/HLTransformer/HLTransServlet?stylename=yul.ead2002.xhtml.xsl&pid=beinecke:guthrie&clear-stylesheet-cache=yes

http://articles.latimes.com/1991-04-27/news/mn-643_1_a-b-guthrie-jr"
Sara,"persName type=""author""",#akroe,Alfred Louis Kroeber,"Alfred Louis Kroeber (1876-1960): an anthropologist who played a major role in shaping his academic field during its inception. After receiving Columbia University’s first PhD in anthropology, under the direction of Franz Boas, Kroeber established the Department of Anthropology at the University of California, Berkeley, where he remained for the rest of his career. Among other work, Kroeber conducted extensive research on the languages and cultures of California’s Native people, publishing the <i>Handbook of the Indians of California</i> in 1925. He and his colleagues at Berkeley described California's Mission Indians as having become so acculturated as to have lost their unique identities. This assessment had lasting consequences for academic and popular understandings of California Indians, and for many indigenous groups' later difficulty in gaining status as federally recognized tribes. Kroeber is perhaps best known today for his work with Ishi, a ""wild Indian"" he and colleagues claimed to be the last survivor of the Yahi people.",http://www.britannica.com/EBchecked/topic/323712/AL-Kroeber; http://texts.cdlib.org/view?docId=hb0b69n6g4&doc.view=frames&chunk.id=div00010&toc.depth=1&toc.id=; http://www.United States-bornethnography.com/article.php?id=10#.U4aSFbBOXmQ
Rachel,persName,#amtozz,Alfred Marston Tozzer,"Alfred Marston Tozzer (1877-1954): archaeologist and anthropologist. After earning a PhD from Harvard in cultural anthropology, Tozzer conducted field work internationally, specializing in study of the Maya. He taught at Harvard, served as a curator of the Peabody Museum, and was an officer in both World War I and II. In addition to field work throughout his life, he held various administrative positions at Harvard and in scientific associations, including the American Anthropological Association, the Peabody Museum, and the National Research Council. His published works include <i>A Comparative Study of the Mayas and the Lacandones</i> (1907) and <i>A Grammar of the Maya Language</i> (1921).","http://oasis.lib.harvard.edu/oasis/deliver/~pea00056

http://www.nasonline.org/publications/biographical-memoirs/memoir-pdfs/tozzer-alfred.pdf"
Sara,"persName type=""author""",#arob,Alfred Robinson,"Alfred Robinson (1806-95): an agent for the Boston firm Bryant & Sturgis, which traded in California throughout the Mexican period. The firm purchased hides, tallow, and local produce from the ranches and missions, selling or exchanging them for manufactured goods. Robinson, who came from an old New England family, lived in California for many years, becoming wealthy through investments in the trade (he was part owner of the ship <i>Alert</i>, for example). Like other New England merchants in California, he served as an intermediary between cultures, marrying the daughter of a wealthy Californio family. Robinson recorded his experiences in the book <i>Life in California</i> (1846).","Ogden, Adele. 1944. ""Alfred Robinson, New England Merchant in Mexican California"". California Historical Society Quarterly 23:193-218."
Rachel,persName,#alfletcher,Alice Cunningham Fletcher,"Alice Cunningham Fletcher (1845-1923): ethnologist and employee of the US Department of the Interior. Fletcher lived and studied the Omaha people in Nebraska in connection with her work at the Peabody Museum at Harvard. After passage of the Dawes Severalty Act of 1877, a measure designed to detribalize American Indians, Fletcher was appointed as special agent by the US Department of the Interior. She allotted individual land tracts to Omaha families and delivered children to Indian boarding schools at Carlisle and Hampton. She was later assigned as special agent for the Winnebago and Nez Perce tribes. Fletcher was associated with numerous anthropological organizations, including the Anthropological Society of Washington, Archaeological Institute of America, and the American Folklore Society.","http://en.wikisource.org/wiki/Appletons%27_Cyclop%C3%A6dia_of_American_Biography/Fletcher,_Alice_Cunningham

http://books.google.com/books?id=qIEFAAAAMAAJ&pg=PA194#v=onepage&q&f=false ; Who's Who online"
Sara,"persName type=""frontiersman""",#ali,Allen Light,"Allen Light: African-American seaman from Philadelphia who arrived in Santa Barbara by ship in the 1830s. Light for a time served as part of George Nidever’s sea otter hunting party, where he was known for his excellent marksmanship. He served as a mercenary soldier in Juan Bautista Alvarado’s revolutionary attempt to secede from Mexico; later he became a naturalized Mexican citizen. In the 1840s, he may have operated a grog house/saloon.","http://www.sandiegohistory.org/online_resources/light.html

http://www.aaregistry.org/historic_events/view/allen-light-19th-century-black-mariner"
Sara,persName,#abt,Alpheus Basil Thompson,"Alpheus Basil Thompson (1795–1869): sea merchant from Maine who was active in the sea otter trade between California and China. Thompson lived in Canton as the representative of his uncle’s Boston firm Wildes & Marshall from 1821-25; he then spent several years in Hawaii managing the Pacific trade. When the hide and tallow business began to eclipse that of furs, Thompson moved to Santa Barbara in 1834 and married into the Californio elite (his wife was the daughter of Carlos Antonio Carrillo, governor of Alta California, 1837-38). He subsequently received a land grant on Santa Rosa Island.","Thomas J. Osborne, Pacific Eldorado: A History of California"
Rachel,persName,#alpbull,Alpheus Bull,Alpheus Bull: no further information has been found excepting his association with the American Anthropological Association and position as Vice President of the California Academy of Sciences during this time.,"http://cdnc.ucr.edu/cgi-bin/cdnc?a=d&d=SFC19050831.2.112#

http://books.google.com/books?id=nr4RAAAAYAAJ&pg=PA737&lpg=PA737&dq=%22Alpheus+Bull%22+american+anthropological+association&source=bl&ots=uPvHTqtTNa&sig=szs5PpD8b2Z0X5qEq5XkJohYLN8&hl=en&sa=X&ei=4cGoU4WhGMO2yASGq4G4Cg&ved=0CC0Q6AEwAg#v=onepage&q=%22Alpheus%20Bull%22%20american%20anthropological%20association&f=false"
,persName,#apin,Alphonse Pinart,"Alphonse Pinart (1852-1911): a French linguist and adventurer who had a particular interest in the relationship between the languages of Alaska Natives and the indigenous peoples of Siberia, as he was an early supporter of the idea that the Native peoples of America had ancestral roots in Asia. Pinart traveled around the Americas and parts of Europe studying native languages and collecting, and often stealing, antiquities. Among the places Pinart conducted field research, he spent a year from 1871-2 on the Kodiak and Aleutian Islands studying the languages of the Alutiiq (Sugpiaq) people. Pinart shared his field notes from his Alaskan expedition with California historian and ethnologist, Hubert Howe Bancroft.","https://www.nps.gov/katm/blogs/explorers-of-katmai-country-alphonse-pinart-1852-1911.htm
https://alutiiqmuseum.org/explore/past-exhibits/280-making-faces
Laronde, Anne-Claire. 2009. “The Atypical History of Collector Alphonse Pinart (1852-1911) and the Sugpiaq Masks of Boulogne-sur-Mer in France”. In Giinaquq Like a Face: Sugpiaq Masks of the Kodiak Archipelago. Sven D. Haakanson, Jr. and Amy F. Steffian, eds. Pp. 31-35. Fairbanks, AK: Universiy of Alaska Press. http://bit.ly/1tDKae1"
Rachel,persName,#aseale,Alvin Seale,"Alvin Seale (1871-1958): a naturalist and ichthyologist, educated at Stanford. Seale was appointed chief of the Division of Fisheries of the Philippine Bureau of Science by President Theodore Roosevelt; here he conducted extensive research and helped develop regulations for the burgeoning industries affecting the fish of that region. Seale was well-known for his design of the Steinhart Aquarium (among others).","http://researcharchive.calacademy.org/research/library/special/bios/Seale.pdf

http://www.oac.cdlib.org/findaid/ark:/13030/tf0779n4cz/entire_text/

http://www.sciencemag.org/content/129/3345/313.extract

http://digitalcollections.pacific.edu/cdm/ref/collection/muirletters/id/2943"
Rachel,"persName type=""frontiersman""",#cas,Andrés Castillero,Andrés Castillero: a diplomat for the Mexican government. Castillero was sent to Alta California to convince Juan Bautista Alvarado (governor of Alta California) to support the 1836 Mexican Constitution. He succeed in persuading Alvarado that the constitutional reforms would provide California with sufficient autonomy and equitability and prevented immediate war.,"http://books.google.com/books?id=b_tDBp1Oe-4C&pg=PA258&lpg=PA258&dq=%22jose+caballero%22+%22andres+castillero%22&source=bl&ots=L-mjBu9NG6&sig=ro9NTNvYnb1cGC2_DupCn_-lhxs&hl=en&sa=X&ei=lMi9U7KVEq3fsASZnYCQCg&ved=0CB0Q6AEwAA#v=onepage&q=castillero&f=false

http://books.google.com/books?id=r2aTAwAAQBAJ&pg=PA151&lpg=PA151&dq=%22jose+caballero%22+%22andres+castillero%22&source=bl&ots=sAkwhZ3sI2&sig=ZDRGxa9kC5DdAruAGflH4f576XQ&hl=en&sa=X&ei=lMi9U7KVEq3fsASZnYCQCg&ved=0CB8Q6AEwAQ#v=onepage&q=%22jose%20caballero%22%20%22andres%20castillero%22&f=false

http://www.jstor.org/discover/10.2307/25160590?uid=3739896&uid=2&uid=4&uid=3739256&sid=21104242730783

https://archive.org/details/unitedstatesvsa01statgoog"
Sara,persName,#api,Andrés Pico,"Andrés Pico (1810–76): ranchero and younger brother of Pio Pico, the last governor of Mexican California. Andrés Pico commanded Mexican forces during the Mexican-American War and briefly served as acting governor of Alta California, in defiance of the US provisional government. Ultimately, Pico signed the Treaty of Guadalupe Hidalgo and, after California became a US state, served in state politics and the state militia.",http://www.laparks.org/dos/historic/andres.htm;http://en.wikipedia.org/wiki/Andr%C3%A9s_Pico
Sara,persName,#angelfish,Angel Fish,Angel Fish: a fish exhibited as a curiosity in one of P.T. Barnum's museums.,http://www.gutenberg.org/files/26640/26640-h/26640-h.htm#CHAPTER_I
Rachel,persName,#amje,Antonia María de Jesús,Antonia María de Jesús: no further information has been found excepting her marriage to Isaac Williams and that she was a daughter of Antonia Lugo.,
Rachel,"persName type=""nativeamerican""",#aga,"Antonio Garra, Sr.","Antonio Garra, Sr. (1815?-52): a Cupe&#241;o who lived at the San Luis Rey Mission. He organized a Native resistance movement and attacked Warner's Ranch. Garra was captured, turned over to California authorities, convicted of murder and theft, and executed by firing squad.",http://faculty.humanities.uci.edu/tcthorne/notablecaliforniaindians/garra.htm
Baseball card,"persName type=""nativeamerican""",#atal,Aravio/Arabio (Talawiyashwit),"Aravio (1782?-1864): a Chumash from Santa Cruz Island. Aravio (Talawiyashwit) reportedly translated the words of the Lone Woman’s &quot;Toki Toki&quot; song for Fernando Librado, who later shared its meaning, as Aravio understood it, with ethnographer J.P. Harrington. According to J. P. Harrington's notes, Aravio had traveled by <i>tomol</i> (plank canoe) to San Nicolas Island, interacting with the Nicole&#241;os before they left the island in 1835. He therefore may have known some of the Nicole&#241;o language. The name ""Aravio"" derives from the Chumash pronunciation of his Spanish baptismal name, Braulio.",Hudson1981
EA,"persName type=""author""",#atay,Archer Taylor,"Archer Taylor (1890-1973): an internationally renowned scholar of proverbs, folklore, and the German language who taught at Washington University, University of Chicago, and finally the University of California, Berkeley.  He completed his undergraduate work at Swarthmore College and his graduate studies in German at the University of Pennsylvania (MA) and Harvard University (PhD). Taylor and his wife, Hasseltine Byrd Taylor, lived in Napa Valley on what is now the Archer Taylor Preserve.",http://www.locustvalley.com/business/Families%20of%20Distinction/Taylor.html http://www.napalandtrust.org/Preserve/Permanent-Preserve-Network/Archer-Taylor
Rachel,"persName type=""author""",#asp,Armstrong W. Sperry,"Armstrong W. Sperry (1897-1976): an author and illustrator. Sperry served in the United States Navy in World War I. He studied at Yale, the Art Students League in New York, and the Académie Colarossis in Paris, and he worked in advertising before beginning his career as a children's author. His published works include <i>One Day with Manu</i> (1933) and <i>Call It Courage</i> (1940; 1941 Newbery Honor Book).","http://lccn.loc.gov/n50021167

http://www.lib.usm.edu/legacy/degrum/public_html/html/research/findaids/DG0923f.html"
Rachel,persName,#asa,Arthur R. Sanger,"Arthur R. Sanger: a realtor and an amateur archaeologist who collected Indian curios. Sanger began collecting artifacts on San Nicolas Island as early as the 1910s and he continued into the 1940s. In 1926, he was a field assistant for an important dig on the island led by Bruce Bryan and sponsored by the Natural History Museum of Los Angeles.  Sanger befriended Mr. and Mrs. Roy Agee, who managed the sheep ranch operations on San Nicolas Island in the 1930s and 40s. Today, artifacts collected by Sanger are housed at a number of museums, including the National Museum of the American Indian (Smithsonian). However, both his methods and the validity of his claims have been questioned.","http://islapedia.com/index.php?title=BRYAN,_Bruce

http://www.pcas.org/documents/Dorsalfineffigy.pdf

http://www.mednscience.org/download_product/1625/0

http://articles.latimes.com/1990-03-01/local/me-2319_1_santa-ana

http://www.americanindian.si.edu/searchcollections/item.aspx?irn=217641 unpublished essay by Steve Schwartz (in Schwebel's possession)"
Rachel,"persName type=""author""",#awo,Arthur Woodward,"Arthur Woodward (1898-1986): an archaeologist. Woodward studied at the University of California, Berkeley under noted California anthropologist Alfred Kroeber and served as a curator for the Los Angeles County Museum (1928-53). While there he contributed extensively to historical archaeological research in California.","http://www.nhm.org/site/research-collections/anthropology-archaeology/department-history-research

http://www.arizonahistoricalsociety.org/wp-content/upLoads/library_Woodward-Arthur.pdf"
Rachel,persName,#agray,Asa Gray,"Asa Gray (1810-88): a botanist. Gray attended Fairfield Medical School, was a professor at Harvard University, and edited the <i>American Journal of Science</i>. His seminal work is the <i>Manual of the Botany of the Northern United States</i> (1848, called <i>Gray's Manual</i>).",http://www.britannica.com/EBchecked/topic/242613/Asa-Gray
EA,"persName type=""missionfather""",#aug,Augustine Hobrecht,"Augustine Hobrecht (1890-1970): a Catholic priest who served as the superior of the Santa Barbara Mission from 1923 to 1931.  During his tenure, the Mission rebuilt after the destruction of the 1925 earthquake in Santa Barbara.",http://freepages.genealogy.rootsweb.ancestry.com/~npmelton/sfbhobre.htm http://www.findagrave.com/cgi-bin/fg.cgi?page=gr&GRid=99116139
Sara,persName,#hinch,Augustus Felix Hinchman,"Augustus Felix Hinchman (1823-99): lawyer, public servant, and manager of mines. Born in Massachusetts and educated at Harvard, Hinchman arrived in California in 1849. He converted to Catholicism and married into the Spanish elite. In the early 1850s, he purchased from George Nidever the land that would later be known as Burton’s Mound.","Ancestors West 4,2; harvard alumi records

"
Rachel,"persName type=""author""",#afi,Austin Edwin Fife,"Austin Edwin Fife (1909-86): a researcher, professor, and US Air Force lieutenant. Fife and his wife, Alta, founded the Fife Folklore Collection at Utah State University, where Austin Fife taught for many years.  Fife published widely in the field.",http://nwda.orbiscascade.org/ark:/80444/xv36505
Sara,"persName type=""frontiersman""",#bal,Baldwin,Baldwin: a member of the 1830-33 hunting and trapping expedition of which George Nidever was a part.,"Weber, David J. The Taos Trappers: The Fur Trade in the Far Southwest, 1540-1846. Norman, Oklahoma: University of Oklahoma Press, 1971."
EA,persName,#barker,Barker,"Barker: the husband of Nancy Nidever Barker, George Nidever's sister.",http://www.neideffer.org/george_nidever.htm http://www.physics.sfsu.edu/~dnidever/homepage/genea.htm
Rachel,"persName type=""author""",#bbra,Barney Brantingham,"Barney Brantingham: journalist and editor. Brantingham worked for numerous newspapers in the Chicago area before editing the <i>San Clemente Sun-Post</i> and later worked as a journalist with the <i>Santa Barbara News-Press</i> (both in California). He won, with others, an Ethics in Journalism Award from the Society of Professional Journalists for his resignation from the <i>News-Press</i> over allegedly unethical management of reporting. He then began writing for The Santa Barbara Independent.",
Rachel,"persName type=""seaman""",#bfe,Bartolomé Ferrelo,"Bartolomé Ferrelo: chief pilot of Juan Rodríguez Cabrillo's exploration of the United States' western coastline (1542-43). Upon his death, Cabrillo left Ferrelo as captain. Ferrelo subsequently travelled along the Pacific Coast as far north as Oregon.","http://www.sandiegohistory.org/books/pourade/explorers/explorerschapter4.htm

http://www.britannica.com/EBchecked/topic/205002/Bartolome-Ferrelo

http://www.sos.wa.gov/legacy/Timeline/detail.aspx?id=1"
Rachel,persName,#biwheeler,Benjamin Ide Wheeler,"Benjamin Ide Wheeler (1854-1927): philologist, Greek scholar, and college administrator. Wheeler attended Brown University and earned a PhD at Heidelberg University in Berlin. He held teaching positions at Brown and Cornell Universities before serving as President of the University of California. Wheeler later taught at the American School of Classical Studies at Athens and the University of Berlin.","http://www.oac.cdlib.org/findaid/ark:/13030/tf4779n6xf/

http://content.cdlib.org/view?docId=hb48700545;NAAN=13030&doc.view=frames&chunk.id=div00002&toc.depth=1&toc.id=&brand=calisphere"
Rachel,persName,#bhayes,Benjamin Ignatius Hayes,"Benjamin Ignatius Hayes (1815-77): a lawyer who moved west and became the first judge of California's Southern District. Throughout his life he kept notes and journals about early California and his experiences in the region. Hubert Howe Bancroft later combined these and published <i>Pioneer Notes from the Diaries of Judge Benjamin Hayes, 1849-1875</i> (1929).","http://www.oac.cdlib.org/findaid/ark:/13030/c8k9390r/admin/

http://memory.loc.gov/cgi-bin/query/h?ammem/calbkbib:@field(NUMBER+@od1(calbk+026))

http://books.google.com/books?id=UKrlfQ9HsgYC&source=gbs_navlinks_s"
