object_id,article_id,image_display_template,image_parent_id,image_file,image_object_location
AlleganyCountyRepublican1901_img7,AlleganyCountyRepublican1901,image,AlleganyCountyRepublican1901_Original,AlleganyCountyRepublican1901_DigSur_7.png,objects/AlleganyCountyRepublican1901/AlleganyCountyRepublican1901_DigSur_7.png
AlleganyCountyRepublican1901_img8,AlleganyCountyRepublican1901,image,AlleganyCountyRepublican1901_Original,AlleganyCountyRepublican1901_DigSur_8.png,objects/AlleganyCountyRepublican1901/AlleganyCountyRepublican1901_DigSur_8.png
AlleganyCountyRepublican1901_img9,AlleganyCountyRepublican1901,image,AlleganyCountyRepublican1901_Original,AlleganyCountyRepublican1901_DigSur_9.png,objects/AlleganyCountyRepublican1901/AlleganyCountyRepublican1901_DigSur_9.png
AlleganyCountyRepublican1901_img10,AlleganyCountyRepublican1901,image,AlleganyCountyRepublican1901_Original,AlleganyCountyRepublican1901_DigSur_10.png,objects/AlleganyCountyRepublican1901/AlleganyCountyRepublican1901_DigSur_10.png
AlleganyCountyRepublican1901_img11,AlleganyCountyRepublican1901,image,AlleganyCountyRepublican1901_Original,AlleganyCountyRepublican1901_DigSur_11.png,objects/AlleganyCountyRepublican1901/AlleganyCountyRepublican1901_DigSur_11.png
AlleganyCountyRepublican1901_img12,AlleganyCountyRepublican1901,image,AlleganyCountyRepublican1901_Original,AlleganyCountyRepublican1901_DigSur_12.png,objects/AlleganyCountyRepublican1901/AlleganyCountyRepublican1901_DigSur_12.png
AlleganyCountyRepublican1901_img13,AlleganyCountyRepublican1901,image,AlleganyCountyRepublican1901_Original,AlleganyCountyRepublican1901_DigSur_13.png,objects/AlleganyCountyRepublican1901/AlleganyCountyRepublican1901_DigSur_13.png
AlleganyCountyRepublican1901_img14,AlleganyCountyRepublican1901,image,AlleganyCountyRepublican1901_Original,AlleganyCountyRepublican1901_DigSur_14.png,objects/AlleganyCountyRepublican1901/AlleganyCountyRepublican1901_DigSur_14.png
Altrocchi1944_Original,Altrocchi1944,compound_object,,Altrocchi1944_DigSur_1.png,objects/Altrocchi1944/Altrocchi1944_DigSur_1.png
Altrocchi1944_img1,Altrocchi1944,image,Altrocchi1944_Original,Altrocchi1944_DigSur_1.png,objects/Altrocchi1944/Altrocchi1944_DigSur_1.png
Altrocchi1944_img2,Altrocchi1944,image,Altrocchi1944_Original,Altrocchi1944_DigSur_2.png,objects/Altrocchi1944/Altrocchi1944_DigSur_2.png
AmericanAnthropologist1905_Original,AmericanAnthropologist1905,compound_object,,AmericanAnthropologist1905_DigSur_1.png,objects/AmericanAnthropologist1905/AmericanAnthropologist1905_DigSur_1.png
AmericanAnthropologist1905_img1,AmericanAnthropologist1905,image,AmericanAnthropologist1905_Original,AmericanAnthropologist1905_DigSur_1.png,objects/AmericanAnthropologist1905/AmericanAnthropologist1905_DigSur_1.png
AmericanAnthropologist1905_img2,AmericanAnthropologist1905,image,AmericanAnthropologist1905_Original,AmericanAnthropologist1905_DigSur_2.png,objects/AmericanAnthropologist1905/AmericanAnthropologist1905_DigSur_2.png
AmericanAnthropologist1905_img3,AmericanAnthropologist1905,image,AmericanAnthropologist1905_Original,AmericanAnthropologist1905_DigSur_3.png,objects/AmericanAnthropologist1905/AmericanAnthropologist1905_DigSur_3.png
AmericanAnthropologist1905_img4,AmericanAnthropologist1905,image,AmericanAnthropologist1905_Original,AmericanAnthropologist1905_DigSur_4.png,objects/AmericanAnthropologist1905/AmericanAnthropologist1905_DigSur_4.png
